Label (Grouping),United States!!Total!!Estimate,United States!!Total!!Margin of Error,United States!!Below poverty level!!Estimate,United States!!Below poverty level!!Margin of Error,United States!!Percent below poverty level!!Estimate,United States!!Percent below poverty level!!Margin of Error
        Population 16 years and over,"256,651,001","±52,263","28,665,305","±140,560",11.20%,±0.1
"            Worked full-time, year-round in the past 12 months","115,316,851","±128,608","2,879,476","±32,746",2.50%,±0.1
            Worked part-time or part-year in the past 12 months,"55,905,879","±142,919","8,345,468","±63,452",14.90%,±0.1
            Did not work,"85,428,271","±150,402","17,440,361","±112,546",20.40%,±0.1
    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS,,,,,,
        50 percent of poverty level,"17,602,164","±126,927",(X),(X),(X),(X)
        125 percent of poverty level,"52,189,901","±299,896",(X),(X),(X),(X)
        150 percent of poverty level,"65,139,120","±335,989",(X),(X),(X),(X)
        185 percent of poverty level,"84,162,461","±410,280",(X),(X),(X),(X)
        200 percent of poverty level,"92,655,786","±420,869",(X),(X),(X),(X)
        300 percent of poverty level,"143,196,072","±488,803",(X),(X),(X),(X)
        400 percent of poverty level,"187,401,509","±435,812",(X),(X),(X),(X)
        500 percent of poverty level,"221,484,622","±368,116",(X),(X),(X),(X)
UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED,"63,367,537","±165,049","15,147,496","±85,504",23.90%,±0.1
    Male,"31,102,291","±114,229","6,650,045","±58,989",21.40%,±0.2
    Female,"32,265,246","±88,999","8,497,451","±47,268",26.30%,±0.1
    15 years,"83,618","±5,420","82,208","±5,378",98.30%,±0.8
    16 to 17 years,"204,953","±8,533","194,244","±8,321",94.80%,±0.9
    18 to 24 years,"6,838,105","±61,734","3,197,531","±47,239",46.80%,±0.4
    25 to 34 years,"13,454,841","±75,922","2,309,930","±31,903",17.20%,±0.2
    35 to 44 years,"7,718,960","±50,822","1,499,258","±19,931",19.40%,±0.2
    45 to 54 years,"7,978,652","±49,774","1,812,966","±22,813",22.70%,±0.2
    55 to 64 years,"10,455,530","±54,536","2,724,824","±29,640",26.10%,±0.3
    65 to 74 years,"8,654,115","±44,737","1,756,993","±22,093",20.30%,±0.2
    75 years and over,"7,978,763","±37,753","1,569,542","±21,215",19.70%,±0.2
    Mean income deficit for unrelated individuals (dollars),"7,363",±22,(X),(X),(X),(X)
"    Worked full-time, year-round in the past 12 months","28,435,494","±110,218","986,970","±18,256",3.50%,±0.1
"    Worked less than full-time, year-round in the past 12 months","12,969,793","±65,338","4,594,315","±42,343",35.40%,±0.3
    Did not work,"21,962,250","±91,281","9,566,211","±63,777",43.60%,±0.2
