Label (Grouping),United States!!Total!!Estimate,United States!!Total!!Margin of Error,United States!!Below poverty level!!Estimate,United States!!Below poverty level!!Margin of Error,United States!!Percent below poverty level!!Estimate,United States!!Percent below poverty level!!Margin of Error
ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS,,,,,,
    50 percent of poverty level,"19,636,022","±148,964",(X),(X),(X),(X)
    125 percent of poverty level,"58,498,340","±285,951",(X),(X),(X),(X)
    150 percent of poverty level,"72,375,908","±314,158",(X),(X),(X),(X)
    185 percent of poverty level,"92,195,084","±368,126",(X),(X),(X),(X)
    200 percent of poverty level,"100,261,094","±369,040",(X),(X),(X),(X)
    300 percent of poverty level,"152,077,190","±381,259",(X),(X),(X),(X)
    400 percent of poverty level,"193,910,557","±332,423",(X),(X),(X),(X)
    500 percent of poverty level,"226,954,883","±264,138",(X),(X),(X),(X)
UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED,"60,924,314","±147,362","15,644,109","±94,715",25.70%,±0.1
    Male,"29,956,313","±109,389","6,994,821","±56,451",23.40%,±0.1
    Female,"30,968,001","±77,690","8,649,288","±60,845",27.90%,±0.2
15 years,"85,614","±4,671","84,234","±4,645",98.40%,±0.6
16 to 17 years,"229,508","±7,472","217,594","±7,472",94.80%,±0.7
18 to 24 years,"6,999,432","±52,267","3,585,571","±47,894",51.20%,±0.4
25 to 34 years,"12,515,038","±63,563","2,488,832","±33,845",19.90%,±0.2
35 to 44 years,"7,379,861","±43,617","1,578,319","±22,599",21.40%,±0.3
45 to 54 years,"8,654,011","±49,530","2,154,748","±26,005",24.90%,±0.3
55 to 64 years,"10,127,281","±52,763","2,736,041","±28,246",27.00%,±0.2
65 to 74 years,"7,669,284","±36,875","1,439,167","±20,746",18.80%,±0.2
75 years and over,"7,264,285","±37,060","1,359,603","±16,790",18.70%,±0.2
Mean income deficit for unrelated individuals (dollars),"6,940",±21,(X),(X),(X),(X)
"Worked full-time, year-round in the past 12 months","26,179,469","±92,189","940,761","±14,503",3.60%,±0.1
"Worked less than full-time, year-round in the past 12 months","13,450,986","±59,800","5,220,307","±44,574",38.80%,±0.2
Did not work,"21,293,859","±83,226","9,483,041","±68,309",44.50%,±0.2
