Label (Grouping),United States!!Total!!Estimate,United States!!Total!!Margin of Error,United States!!Below poverty level!!Estimate,United States!!Below poverty level!!Margin of Error,United States!!Percent below poverty level!!Estimate,United States!!Percent below poverty level!!Margin of Error
            Worked part-time or part-year in the past 12 months,"57,696,235","±149,274","9,113,988","±62,380",15.80%,±0.1
            Did not work,"85,303,278","±137,771","18,195,738","±111,016",21.30%,±0.1
    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS,,,,,,
        50 percent of poverty level,"18,769,825","±130,617",(X),(X),(X),(X)
        125 percent of poverty level,"55,643,386","±285,786",(X),(X),(X),(X)
        150 percent of poverty level,"68,902,328","±331,414",(X),(X),(X),(X)
        185 percent of poverty level,"88,628,697","±373,266",(X),(X),(X),(X)
        200 percent of poverty level,"97,258,726","±391,902",(X),(X),(X),(X)
        300 percent of poverty level,"148,273,585","±429,354",(X),(X),(X),(X)
        400 percent of poverty level,"192,132,229","±397,749",(X),(X),(X),(X)
        500 percent of poverty level,"225,402,407","±338,421",(X),(X),(X),(X)
UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED,"62,417,635","±136,216","15,311,121","±90,801",24.50%,±0.1
    Male,"30,661,376","±95,968","6,752,351","±53,545",22.00%,±0.1
    Female,"31,756,259","±85,289","8,558,770","±64,801",27.00%,±0.2
    15 years,"85,310","±4,367","83,702","±4,420",98.10%,±0.7
    16 to 17 years,"226,578","±8,968","216,294","±8,902",95.50%,±0.8
    18 to 24 years,"7,006,026","±56,003","3,393,869","±42,308",48.40%,±0.4
    25 to 34 years,"13,112,396","±64,031","2,345,834","±29,997",17.90%,±0.2
    35 to 44 years,"7,589,758","±47,213","1,508,586","±23,681",19.90%,±0.3
    45 to 54 years,"8,203,907","±48,463","1,954,290","±26,084",23.80%,±0.3
    55 to 64 years,"10,308,448","±44,247","2,743,632","±28,350",26.60%,±0.2
    65 to 74 years,"8,235,033","±39,646","1,618,861","±19,193",19.70%,±0.2
    75 years and over,"7,650,179","±38,199","1,446,053","±20,871",18.90%,±0.3
    Mean income deficit for unrelated individuals (dollars),"7,418",±22,(X),(X),(X),(X)
"    Worked full-time, year-round in the past 12 months","27,536,099","±85,465","872,831","±17,039",3.20%,±0.1
"    Worked less than full-time, year-round in the past 12 months","13,255,347","±58,776","4,914,293","±45,222",37.10%,±0.3
    Did not work,"21,626,189","±84,232","9,523,997","±67,215",44.00%,±0.2
